row,column,hsv,h,s,v
0,0,"(0, 0, 100)",0,0,100
0,1,"(37, 4, 89)",37,4,89
0,2,"(60, 5, 82)",60,5,82
0,3,"(26, 10, 61)",26,10,61
0,4,"(16, 9, 47)",16,9,47
0,5,"(322, 24, 100)",322,24,100
0,6,"(321, 40, 100)",321,40,100
0,7,"(330, 52, 98)",330,52,98
0,8,"(327, 60, 97)",327,60,97
0,9,"(330, 75, 66)",330,75,66
1,0,"(192, 2, 83)",192,2,83
1,1,"(180, 3, 75)",180,3,75
1,2,"(174, 7, 58)",174,7,58
1,3,"(192, 14, 27)",192,14,27
1,4,"(0, 0, 5)",0,0,5
1,5,"(334, 43, 100)",334,43,100
1,6,"(341, 62, 96)",341,62,96
1,7,"(334, 63, 97)",334,63,97
1,8,"(332, 70, 65)",332,70,65
1,9,"(333, 58, 33)",333,58,33
2,0,"(344, 13, 96)",344,13,96
2,1,"(53, 40, 98)",53,40,98
2,2,"(142, 24, 91)",142,24,91
2,3,"(185, 30, 93)",185,30,93
2,4,"(223, 16, 94)",223,16,94
2,5,"(326, 36, 96)",326,36,96
2,6,"(334, 60, 86)",334,60,86
2,7,"(332, 70, 65)",332,70,65
2,8,"(336, 69, 46)",336,69,46
2,9,"(325, 41, 23)",325,41,23
3,0,"(53, 54, 98)",53,54,98
3,1,"(51, 62, 99)",51,62,99
3,2,"(46, 64, 100)",46,64,100
3,3,"(352, 76, 87)",352,76,87
3,4,"(348, 77, 68)",348,77,68
3,5,"(295, 38, 81)",295,38,81
3,6,"(282, 50, 63)",282,50,63
3,7,"(277, 56, 46)",277,56,46
3,8,"(298, 47, 64)",298,47,64
3,9,"(275, 54, 35)",275,54,35
4,0,"(147, 75, 77)",147,75,77
4,1,"(149, 87, 71)",149,87,71
4,2,"(148, 85, 48)",148,85,48
4,3,"(153, 80, 36)",153,80,36
4,4,"(160, 49, 22)",160,49,22
4,5,"(315, 57, 48)",315,57,48
4,6,"(276, 51, 44)",276,51,44
4,7,"(238, 52, 46)",238,52,46
4,8,"(244, 52, 36)",244,52,36
5,0,"(163, 87, 75)",163,87,75
5,1,"(163, 85, 48)",163,85,48
5,2,"(168, 76, 29)",168,76,29
5,3,"(185, 79, 72)",185,79,72
5,4,"(187, 83, 45)",187,83,45
5,5,"(219, 67, 71)",219,67,71
5,6,"(222, 77, 56)",222,77,56
5,7,"(227, 57, 32)",227,57,32
5,8,"(353, 22, 16)",353,22,16
6,0,"(192, 70, 84)",192,70,84
6,1,"(196, 82, 76)",196,82,76
6,2,"(199, 88, 52)",199,88,52
6,3,"(206, 77, 78)",206,77,78
6,4,"(209, 93, 68)",209,93,68
