row,column,lab,l,a,b
0,0,"(86.19, 1.75, 12.19)",86.19,1.75,12.19
0,1,"(76.87, 3.28, 14.7)",76.87,3.28,14.7
0,2,"(84.89, 3.19, 19.88)",84.89,3.19,19.88
0,3,"(83.58, 6.61, 22.83)",83.58,6.61,22.83
0,4,"(71.72, 7.16, 25.33)",71.72,7.16,25.33
0,5,"(57.39, 40.72, 22.61)",57.39,40.72,22.61
0,6,"(50.37, 61.2, 27.02)",50.37,61.2,27.02
0,7,"(43.72, 55.69, 19.78)",43.72,55.69,19.78
0,8,"(36.89, 48.78, 14.67)",36.89,48.78,14.67
0,9,"(18.75, 20.33, 3.8)",18.75,20.33,3.8
1,0,"(85.9, -2.14, 21.2)",85.9,-2.14,21.2
1,1,"(83.88, -8.67, 22.88)",83.88,-8.67,22.88
1,2,"(86.9, 0.28, 27.38)",86.9,0.28,27.38
1,3,"(82.72, 18.8, 13.38)",82.72,18.8,13.38
1,4,"(80.7, -18.59, -3.25)",80.7,-18.59,-3.25
1,5,"(73.38, -16.86, 25.94)",73.38,-16.86,25.94
1,6,"(74.21, -19.52, 41.25)",74.21,-19.52,41.25
1,7,"(61.76, -16.31, 33.38)",61.76,-16.31,33.38
1,8,"(41.72, -11.16, 25.34)",41.72,-11.16,25.34
1,9,"(19.57, -3.75, 3.75)",19.57,-3.75,3.75
2,0,"(77.29, 1.39, 3.89)",77.29,1.39,3.89
2,1,"(56.35, 1.52, 4.16)",56.35,1.52,4.16
2,2,"(34.56, 2.72, 2.95)",34.56,2.72,2.95
2,3,"(62.18, 4.56, 10.5)",62.18,4.56,10.5
2,4,"(34.25, 6.88, 1.92)",34.25,6.88,1.92
2,5,"(73.06, -33.8, -7.92)",73.06,-33.8,-7.92
2,6,"(59.83, -32.83, -4.98)",59.83,-32.83,-4.98
2,7,"(55.87, -30.33, 1.14)",55.87,-30.33,1.14
2,8,"(38.45, -23.91, 4.42)",38.45,-23.91,4.42
2,9,"(22.81, -12.84, -0.47)",22.81,-12.84,-0.47
3,0,"(18.71, 9.45, -3.53)",18.71,9.45,-3.53
3,1,"(20.03, -10.72, -0.5)",20.03,-10.72,-0.5
3,2,"(21.58, 3.39, -21.66)",21.58,3.39,-21.66
3,3,"(21.58, 3.39, -21.66)",21.58,3.39,-21.66
3,4,"(14.65, 0.09, 0.05)",14.65,0.09,0.05
3,5,"(70.21, -20.72, -18.11)",70.21,-20.72,-18.11
3,6,"(58.25, -20.34, -24.31)",58.25,-20.34,-24.31
3,7,"(44.6, -16.23, -19.89)",44.6,-16.23,-19.89
3,8,"(39.01, -17.19, -14.33)",39.01,-17.19,-14.33
3,9,"(24.63, -15.09, -1.12)",24.63,-15.09,-1.12
4,0,"(82.5, 8.31, 40.14)",82.5,8.31,40.14
4,1,"(72.61, 6.75, 39.52)",72.61,6.75,39.52
4,2,"(61.36, 10.61, 32.64)",61.36,10.61,32.64
4,3,"(73.92, 19.8, 33.31)",73.92,19.8,33.31
4,4,"(57.76, 25.53, 25.48)",57.76,25.53,25.48
4,5,"(73.6, 22.2, -5.64)",73.6,22.2,-5.64
4,6,"(58.69, 35.11, -7.88)",58.69,35.11,-7.88
4,7,"(44.25, 37.25, -7.19)",44.25,37.25,-7.19
4,8,"(30.33, 29.55, -4.83)",30.33,29.55,-4.83
4,9,"(25.9, -2.28, -18.81)",25.9,-2.28,-18.81
5,0,"(68.49, 43.34, 16.2)",68.49,43.34,16.2
5,1,"(51.6, 52.75, 21.84)",51.6,52.75,21.84
5,2,"(64.41, 38.22, 29.55)",64.41,38.22,29.55
5,3,"(53.51, 34.19, 23.86)",53.51,34.19,23.86
5,4,"(30.1, 26.34, 12.44)",30.1,26.34,12.44
5,5,"(56.82, -0.45, 29.48)",56.82,-0.45,29.48
5,6,"(48.54, 0.56, 26.22)",48.54,0.56,26.22
5,7,"(29.43, -0.27, 13.92)",29.43,-0.27,13.92
5,8,"(71.37, 0.03, -1.14)",71.37,0.03,-1.14
5,9,"(80.68, 6.27, 47.47)",80.68,6.27,47.47
6,0,"(71.01, 36.39, 17.45)",71.01,36.39,17.45
6,1,"(64.85, 43.48, 24.19)",64.85,43.48,24.19
6,2,"(50.94, 45.52, 23.0)",50.94,45.52,23.0
6,3,"(39.33, 39.72, 14.09)",39.33,39.72,14.09
6,4,"(26.94, 32.06, 11.39)",26.94,32.06,11.39
